Name,Genres,Studio,Type,Score,Score Rank,Num. of episodes,Popularity Rank
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,"['drama', 'fantasy', 'slice of life']",['kyoto animation'],movie,8.41,157,1,574
Kara no Kyoukai 7: Satsujin Kousatsu (Go),"['action', 'mystery', 'romance', 'supernatural', 'suspense']",['ufotable'],movie,8.41,158,1,1013
Kaze ga Tsuyoku Fuiteiru,"['drama', 'sports']",['production i.g'],tv,8.41,159,23,757
3-gatsu no Lion,"['drama', 'slice of life']",['shaft'],tv,8.4,160,22,275
Chihayafuru 2,"['drama', 'slice of life', 'sports']",['madhouse'],tv,8.4,161,25,912
Cross Game,"['drama', 'romance', 'sports']",['synergysp'],tv,8.4,162,50,1551
Gintama°: Aizome Kaori-hen,['comedy'],['bandai namco pictures'],ova,8.4,163,2,2088
Houseki no Kuni (TV),"['action', 'drama', 'fantasy', 'mystery']",['orange'],tv,8.4,164,12,474
Hunter x Hunter,"['action', 'adventure', 'fantasy']",['nippon animation'],tv,8.4,165,62,342
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,['comedy'],['a-1 pictures'],tv,8.4,166,12,64
Natsume Yuujinchou Roku Specials,"['drama', 'slice of life', 'supernatural']",['shuka'],special,8.4,167,2,2978
Non Non Biyori Nonstop,"['comedy', 'slice of life']",['silver link.'],tv,8.4,168,12,1728
Tensei shitara Slime Datta Ken 2nd Season,"['action', 'adventure', 'comedy', 'fantasy']",['8bit'],tv,8.4,169,12,214
Tian Guan Ci Fu,"['action', 'adventure', 'drama', 'supernatural']",['haoliners animation league'],ona,8.39,170,11,1841
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"['comedy', 'drama', 'romance', 'slice of life']",['feel.'],tv,8.39,171,12,279
Barakamon,"['comedy', 'slice of life']",['kinema citrus'],tv,8.39,172,12,278
Fumetsu no Anata e,"['adventure', 'drama', 'supernatural']","['""brains base""']",tv,8.39,173,20,234
Kobayashi-san Chi no Maid Dragon S,"['comedy', 'fantasy', 'slice of life']",['kyoto animation'],tv,8.39,174,12,413
Kotarou wa Hitorigurashi,"['comedy', 'slice of life']",['lidenfilms'],ona,8.39,175,10,2456
Baccano!,"['action', 'comedy', 'mystery', 'supernatural']","['""brains base""']",tv,8.38,176,13,160
Cowboy Bebop: Tengoku no Tobira,"['action', 'sci-fi']",['bones'],movie,8.38,177,1,564
Holo no Graffiti,['comedy'],['hololive production'],ona,8.38,178,0,2780
Kamisama Hajimemashita: Kako-hen,"['comedy', 'fantasy', 'romance', 'supernatural']",['tms entertainment'],ova,8.38,179,4,1305
Kimetsu no Yaiba: Mugen Ressha-hen,"['action', 'fantasy']",['ufotable'],tv,8.38,180,7,455
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"['drama', 'suspense']",['shaft'],movie,8.38,182,1,1031
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"['drama', 'fantasy', 'suspense']",['white fox'],tv,8.38,183,13,131
Usagi Drop,['slice of life'],['production i.g'],tv,8.38,184,11,399
Mushoku Tensei: Isekai Ittara Honki Dasu,"['drama', 'fantasy', 'ecchi']",['studio bind'],tv,8.37,185,11,135
Kaze no Tani no Nausicaä,"['adventure', 'fantasy']",['topcraft'],movie,8.37,186,1,575
Bakuman. 2nd Season,"['comedy', 'drama', 'romance']",['j.c.staff'],tv,8.36,187,25,576
Haikyuu!! To the Top,['sports'],['production i.g'],tv,8.36,188,13,186
